USER STORIES Komkom News;;;;;;;;;;;
ID;User Story;Description;Critères d'Acceptation Détaillés;;;;;;;;
US001;"Connexion via Wekomkom
En tant qu'entrepreneur inscrit sur Wekomkom
Je veux me connecter avec mes identifiants Wekomkom
Afin d'accéder directement sans créer nouveau compte.";"Priorité : ?? Must Have
Effort : 5 points
Sprint : 1
Thème : Authentification";"- Bouton ""Se connecter avec Wekomkom"" visible sur page d'accueil.
- Clic redirige vers interface OAuth2 Wekomkom
- Redirection vers Komkom News après authentification réussie.
-Import automatique des informations de profil Wekomkom.
- Message d'erreur clair en cas d'échec d'authentification
- LSession reste active pendant 7 jours sans réauthentification";;;;;;;;
US002;"Configuration Préférences
En tant que nouvel utilisateur de Komkom News
Je veux configurer mes préférences lors de ma première connexion
Afin de recevoir un contenu adapté à mon profil.";"Priorité : ?? Must Have
Effort : 8 points
Sprint : 1
Thème : Onboarding";"- Wizard d'onboarding s'affiche automatiquement pour les nouveaux utilisateurs.
- Sélection du secteur d'activité (liste prédéfinie + ""Autre"").
- Choix de langue préférée (Français, Wolof, Les deux).
- Indication du stade de développement (Idée, Prototype, Lancement, Croissance, Expansion).
- Sélection des types d'opportunités d'intérêt (Financement, Formation,Networking, Subventions, Marchés)
-Bouton ""Ignorer pour l'instant"" permet de configurer plus tard.
- Préférences sauvegardées et utilisées pour personnalisation.
- JRécapitulatif des choix affiché avant validation finale";;;;;;;;
US003;"Génération Journal Hebdomadaire
En tant qu'entrepreneur abonné
Je veux recevoir automatiquement un journal personnalisé chaque semaine
Afin de découvrir les opportunités les plus pertinentes.";"Priorité : ?? Must Have
Effort : 13 points
Sprint : 2
Thème : Journal Personnalisé";"- Nouveau journal généré chaque lundi matin à 6h00 GMT
- Contenu personnalisé selon le profil et les préférences utilisateur
-Journal contient 5-7 opportunités maximum par édition
- Chaque opportunité inclut : titre, description, deadline, critères d'éligibilité
- Journal disponible en version audio (podcast) et texte
- Durée audio comprise entre 15-20 minutes 
-H6Notification push de disponibilité envoyée
- Journal accessible même sans connexion internet (mode offline)";;;;;;;;
US004;"Lecteur Podcast Intégré
En tant qu'utilisateur mobile
Je veux écouter mon journal via un lecteur audio intégré et optimisé
Afin de consommer le contenu en mobilité";"Priorité : ?? Must Have
Effort : 8 points
Sprint : 2
Thème : Podcast";"- Lecteur audio s'affiche en bas de l'écran (sticky player)
- Contrôles disponibles : Play/Pause, Précédent, Suivant, Timeline
- Vitesse de lecture ajustable (0.5x, 0.75x, 1x, 1.25x, 1.5x, 2x)
- Fonction avance/recul rapide (15 secondes) 
- Affichage du temps écoulé et durée totale 
- Lecture continue même avec l'écran verrouillé
- Contrôles via notifications système (Android/iOS)
- Sauvegarde automatique de la position de lecture
- Fonction ""Marquer comme écouté"" automatique à 90% de lecture";;;;;;;;
US005;"Transcription et Accessibilité
En tant qu'utilisateur malentendant ou préférant lire
Je veux accéder à la transcription complète du podcast
Afin de consommer le contenu sous format texte";"Priorité : ?? Should Have
Effort : 5 points
Sprint : 7
Thème : Accessibilité";"- Bouton ""Transcription"" visible dans le lecteur
- Transcription complète et synchronisée avec l'audio
- Possibilité de cliquer sur un passage pour naviguer dans l'audio
- Mise en évidence du texte en cours de lecture
- Option de téléchargement PDF de la transcription
- Fonction recherche dans la transcription
- Compatibilité avec les lecteurs d'écran (WCAG 2.1 AA)
- Taille de police ajustable";;;;;;;;                
US006;"Switching Français/Wolof
En tant qu'entrepreneur sénégalais
Je veux basculer facilement entre le français et le wolof
Afin de comprendre le contenu dans ma langue de préférence";"Priorité : ?? Must Have
Effort : 8 points
Sprint : 3
Thème : Multilangue";"- Toggle langue visible dans l'interface du lecteur
- Changement de langue instantané sans rechargement
- Version audio disponible dans les deux langues
- Transcription disponible dans la langue sélectionnée
- Préférence langue sauvegardée pour les prochaines sessions
- Qualité audio équivalente dans les deux langues
- Terminologie business adaptée culturellement en wolof";;;;;;;;
US007;"Recherche Avancée d'Opportunités
En tant qu'entrepreneur cherchant des opportunités spécifiques
Je veux effectuer des recherches approfondies avec filtres avancés
Afin de trouver exactement les financements/accompagnements correspondants";"Priorité : ?? Must Have
Effort : 13 points
Sprint : 4
Thème : Deep Research";"- Barre de recherche accessible depuis l'écran principal
- Recherche par mots-clés avec suggestions auto-complètes
- Filtres disponibles : Secteur, Type d'opportunité, Montant, Deadline, Zone géographique
- Résultats triés par pertinence ou date limite
- Chaque résultat affiche : titre, source, montant, deadline, critères clés
- Fonction ""Sauvegarder la recherche"" pour relancer facilement
- Export des résultats en PDF
- Historique des recherches récentes (10 dernières)
- Temps de réponse < 2 secondes pour une recherche";;;;;;;;
US008;"Alertes Personnalisées
En tant qu'entrepreneur occupé
Je veux configurer des alertes automatiques pour certains types d'opportunités
Afin de ne rater aucune chance importante";"Priorité : ?? Should Have
Effort : 8 points
Sprint : 6
Thème : Alertes";"- Option ""Créer une alerte"" depuis les résultats de recherche
- Configuration des critères d'alerte (secteur, montant min/max, mots-clés)
- Fréquence d'alerte configurable (Immédiat, Quotidien, Hebdomadaire)
- Maximum 5 alertes actives par utilisateur
- Notification push + email pour nouvelles opportunités matchées
- Gestion des alertes (activer/désactiver/supprimer)
- Aperçu du nombre d'opportunités matchées par alerte
- E10Option ""Ne plus me notifier pour cette opportunité""";;;;;;;;
US009;"Détails Complets d'Opportunité
En tant qu'entrepreneur intéressé par une opportunité
Je veux accéder à tous les détails et liens utiles
Afin de comprendre parfaitement les conditions et comment postuler";"Priorité : ?? Must Have
Effort : 5 points
Sprint : 5
Thème : Détails";"- Page dédiée pour chaque opportunité avec URL unique
- Informations complètes : description, critères, montant, deadline, processus
- Liens directs vers le site officiel/formulaire de candidature
- Section ""Documents requis"" avec checklist
- Historique des précédents lauréats si disponible
- Estimation du niveau de concurrence (basée sur données historiques)
- Bouton ""Marquer comme intéressé"" pour suivi personnel
- Option partage via WhatsApp/Email/LinkedIn
- Section commentaires/retours d'expérience communauté";;;;;;;;
US010;"Gestion du Profil Entrepreneur
En tant qu'utilisateur de Komkom News
Je veux mettre à jour mon profil et mes préférences
Afin d'améliorer la pertinence des contenus proposés";"Priorité : ?? Should Have
Effort : 5 points
Sprint : 7
Thème : Profil";"- Accès à la page profil via menu principal
- Modification des informations : secteur, stade, intérêts, langue
- Option d'ajout de mots-clés personnalisés pour affinement
- Prévisualisation de l'impact des changements sur le contenu
- Sauvegarde automatique des modifications
- Historique des journaux reçus avec possibilité de réécouter
- Statistiques personnelles : temps d'écoute, opportunités explorées
- Option de suppression de compte avec export des données";;;;;;;;
